lon,lat,elev,min_clearance,min_clear_bare,veg_risk,tc_obs,mean_clearance,low_horizon_frac,breadth_deg,score
-1.882597066981156,53.38374874133521,627.963034434227,5.486325059109596,5.48635403238174,2.897327214412826e-05,0.0,13.492638548626918,1.0,46.0,13.108748551129016
-1.8788314423016228,53.39053152933239,617.1494052114999,5.482685123839288,5.482685123839288,0.0,0.0,13.481178666526842,1.0,46.0,13.101097657123683
-1.8938939410197555,53.401836175994355,606.2312200524412,5.464891473126405,5.465133848949808,0.00024237582340269626,0.0,13.456987964396408,1.0,46.0,13.074837260665147
-1.8788314423016228,53.365661306676074,556.984372731803,5.406711896438026,5.406711896438026,0.0,0.0,13.420420466686632,1.0,46.0,13.003859059778348
-1.8713001929425566,53.451576621307,608.6941758905376,5.387709154367529,5.387709154367529,0.0,0.0,13.442422117289173,1.0,46.0,12.992556895418739
-1.8374095708267582,53.34757387201693,543.9271639109667,5.397255754258605,5.397576996613932,0.0003212423553264898,0.0,13.41092683727011,1.0,46.0,12.991080147303142
-1.999331432046684,53.23452740539729,536.3746359210413,5.4053521894411185,5.406153208010909,0.0008010185697902017,0.0,13.387528514268496,1.0,46.0,12.990987169435092
-1.8863626916606893,53.37244409467325,546.5534087291034,5.386476926470328,5.386476926470328,0.0,0.0,13.405257489488354,1.0,46.0,12.978317047791252
-1.8637689435834903,53.45835940930417,615.5129967743985,5.365786302917639,5.365786302917639,0.0,0.0,13.448377719201687,1.0,46.0,12.97271850463823
-2.0106283060852834,53.261658557386,542.460946528436,5.371386237471225,5.371818947022081,0.0004327095508562806,0.0,13.401979539314656,1.0,46.0,12.962079076231355
-1.9127220644174212,53.41087989332392,532.9010504791127,5.377330963656455,5.377468794166132,0.00013783050967752786,0.0,13.370858811745324,1.0,46.0,12.957131547767318
-1.995565807367151,53.22774461740011,513.6819228382776,5.382477107796944,5.382879389387128,0.0004022815901834065,0.0,13.352905262050824,1.0,46.0,12.955993949514733
-1.8713001929425566,53.3566175893465,514.3170829810379,5.355796239755088,5.355796239755088,0.0,0.0,13.363918094819171,1.0,46.0,12.933167572941796
-1.8976595656992887,53.37470502400564,515.7836088062699,5.342411586617852,5.3428449962781945,0.00043340966034222106,0.0,13.368020444719233,1.0,46.0,12.921218742269584
-1.9014251903788217,53.4199236106535,531.6169574309378,5.3291305164973615,5.336670486617568,0.007539970120206796,0.0,13.368636006891755,1.0,46.0,12.908153118909476
-2.003097056726217,53.24809298139164,511.57183004532874,5.3567191053524414,5.3567191053524414,0.0,0.0,13.288107796709589,1.0,46.0,12.907556834200799
-2.0106283060852834,53.27974599204514,505.16083360770057,5.322382562079186,5.323116139106362,0.0007335770271756914,0.0,13.364699199286928,1.0,46.0,12.90002728182961
-2.0068626814057504,53.26844134538318,501.0803643193419,5.3230894979002,5.3230894979002,0.0,0.0,13.358913611176048,1.0,46.0,12.898709261811817
-1.860003318903957,53.465142197301354,610.0943203579719,5.29514839436462,5.29514839436462,0.0,0.0,13.436540371056454,1.0,46.0,12.89793752423438
-1.8788314423016228,53.45835940930417,546.0663843987926,5.304910489416218,5.306880892757396,0.0019704033411773736,0.0,13.372321635380235,1.0,46.0,12.8852230617993
-1.882597066981156,53.449315691974604,528.8476912469442,5.28604575548953,5.28604575548953,0.0,0.0,13.357191070256881,1.0,46.0,12.86106263007944
-1.8675345682630233,53.424445469318286,537.4010934249162,5.277768276114206,5.286882227727543,0.009113951613336724,0.0,13.380139578519792,1.0,46.0,12.860817128596134
-2.51898763782226,53.63019003856603,451.86332492479653,5.346193435876572,5.346193435876572,0.0,0.0,13.362533833522242,1.0,46.0,12.858898044175753
-1.8637689435834903,53.440271974645036,518.6050312573603,5.281444343777852,5.281613312173441,0.00016896839558899757,0.0,13.356204133292508,1.0,46.0,12.856115790430229
-1.8901283163402223,53.361139448011286,487.9634235280639,5.306047121187213,5.307516836546593,0.0014697153593798973,0.0,13.32388652583377,1.0,46.0,12.853358636599785
-2.0106283060852834,53.23678833472968,467.66944084565216,5.331511991881681,5.331511991881681,0.0,0.0,13.310539370050304,1.0,46.0,12.84709335919349
-1.9428470618536866,53.14861209076636,476.79492329940615,5.329656236288013,5.334087833809912,0.004431597521898922,0.0,13.277349354174813,1.0,46.0,12.84578840798174
-1.9240189384560207,53.41314082265632,475.0196993692987,5.3157032030174065,5.315782413571368,7.921055396131749e-05,0.0,13.305001579720003,1.0,46.0,12.839146688411805
-2.025690804803416,53.270702274715575,480.5817564272105,5.2968651867889305,5.297187498399962,0.0003223116110318003,0.0,13.33564253948654,1.0,46.0,12.838449084178833
-1.882597066981156,53.42670639865067,512.8898696671292,5.262455209831227,5.268605971317305,0.006150761486077627,0.0,13.353645303625983,1.0,46.0,12.836231066100321
-2.0369876788420154,53.22548368806772,459.69084234076837,5.325941109022967,5.330995424075751,0.005054315052784197,0.0,13.300115684067139,1.0,46.0,12.827236054900824
-1.8901283163402223,53.460620338636566,506.98765639700815,5.259978817781282,5.265246912639878,0.0052680948585956955,0.0,13.328134106469378,1.0,46.0,12.824825755045564
-1.954143935892286,53.22096182940293,543.2433036742697,5.261332506978791,5.261332506978791,0.0,0.0,13.321568160031829,1.0,46.0,12.823881362989932
-1.9127220644174212,53.286528780042325,493.9209134472709,5.319904766460497,5.321850104756439,0.0019453382959415677,25.0,13.174045838060941,1.0,46.0,12.822715361044855
-1.8713001929425566,53.40409710532675,603.1765411756265,5.439611281753173,5.439611281753173,0.0,0.0,12.949504623839848,0.9782608695652174,45.0,12.82193790009712
-1.8449408201858244,53.465142197301354,623.096820924263,5.265760736142251,5.26784550883143,0.0020847726891783935,0.0,13.273687923831401,1.0,46.0,12.811551509483243
-2.2516282855754057,53.670886766549096,474.6109748456745,5.325784135900325,5.325784135900325,0.0,0.0,13.197451447755062,1.0,46.0,12.811040109075497
-2.0106283060852834,53.20965718274097,456.00118051899983,5.323222101753931,5.3280356353887015,0.00481353363477055,0.0,13.275554421030927,1.0,46.0,12.811001056473422
-2.0106283060852834,53.286528780042325,467.67680606966064,5.283829381736342,5.283829381736342,0.0,0.0,13.32729688738446,1.0,46.0,12.805285700413783
-1.8750658176220898,53.46740312663375,544.7380859112584,5.227877483460603,5.227877483460603,0.0,27.0,13.361494468055191,1.0,46.0,12.80440054727992
-2.021925180123883,53.26391948671839,464.8267644846597,5.288825480413635,5.289491762133208,0.0006662817195728366,0.0,13.31709413782193,1.0,46.0,12.802910781297525
-2.003097056726217,53.17348231342268,458.86663700698426,5.298663534483988,5.298663534483988,0.0,9.800000190734863,13.265201139799837,1.0,46.0,12.786639449423244
-1.9466126865332196,53.28200692137754,495.76294529566906,5.344493166081998,5.346249353016342,0.001756186934343873,0.0,12.959595443869485,1.0,46.0,12.774702165163877
-1.8938939410197555,53.38148781200282,449.88677524794343,5.285911098011186,5.285944952026513,3.385401532707277e-05,0.0,13.296761584251849,1.0,46.0,12.772960019496592
-1.9089564397378882,53.29557249737189,483.6010789272767,5.253285835331861,5.254482832602284,0.0011969972704228837,0.0,13.259955399690643,1.0,46.0,12.772404997126623
-2.040753303521549,53.21870090007054,431.18566480458554,5.297329413244043,5.305621705123013,0.008292291878969849,0.0,13.25923913282878,1.0,46.0,12.746310662806899
-2.522753262501793,53.623407250568846,410.27957277774397,5.30284822294017,5.30284822294017,0.0,0.0,13.319188620585841,1.0,46.0,12.744937003848875
-1.8938939410197555,53.3882706,428.6078463605934,5.2722798117651415,5.2722798117651415,0.0,12.0,13.274018580213426,1.0,46.0,12.722996776653964
-1.8637689435834903,53.47418591463092,568.8985285592223,5.138040582515946,5.139853000471884,0.0018124179559384501,0.0,13.37779964000464,1.0,46.0,12.72027045651757
-1.882597066981156,53.43801104531264,465.48301882721086,5.20813518038042,5.21097481310571,0.0028396327252897535,0.0,13.291712891373288,1.0,46.0,12.714212050797354
-2.500159514424594,53.67540862521388,398.8211660080541,5.290904346196854,5.290904346196854,0.0,0.0,13.307244743842524,1.0,46.0,12.713534894552478
-2.0143939307648164,53.20287439474379,431.7164193671856,5.283083510581422,5.291528803799166,0.008445293217744343,0.0,13.178948530326764,1.0,46.0,12.704670722018705
-1.905190815058355,53.46740312663375,468.8186133842798,5.196341398713066,5.196341398713066,0.0,29.0,13.264122274562265,1.0,46.0,12.697209012655565
-2.0595814269192143,53.25261484005643,417.73326633621423,5.2638717989720005,5.26744609926877,0.003574300296769195,16.399999618530273,13.265302538711957,1.0,46.0,12.697038709302804
-1.8788314423016228,53.47418591463092,521.3410812008362,5.126706188621194,5.126706188621194,0.0,0.0,13.32724382089973,1.0,46.0,12.691241525936098
-2.5265188871813264,53.65279933188995,388.36726885804234,5.280007425039017,5.280007425039017,0.0,0.0,13.296347822684687,1.0,46.0,12.684885521456048
-2.4888626403859946,53.68219141321106,387.3957418335501,5.278994742124283,5.278994742124283,0.0,0.0,13.295335139769954,1.0,46.0,12.682223030155168
-1.9503783112127528,53.14182930276918,424.70182395997074,5.269886059764373,5.271181951070887,0.0012958913065146405,0.0,13.166479373638317,1.0,46.0,12.677756272484412
-1.8976595656992887,53.36792223600846,420.7098745035164,5.2411495125660785,5.2411495125660785,0.0,0.0,13.25317201274027,1.0,46.0,12.674039549696529
-2.2704564089730717,53.66636490788431,453.95558516245023,5.24468472089587,5.24468472089587,0.0,0.0,13.094524368451992,1.0,46.0,12.666375696737335
